text,label
"The sign of a good movie is that it can toy with our emotions. This movie was great, and I suggest that you go see it before you judge. I was wrong.",1
"< br / > < br / > The film starts with some creative opening credits ( imagine a Disneyfied version of the animated opening credits of HBO's "" Carnivale "" and "" Rome "" ), but lumbers along slowly for its first by - the - numbers hour. He also does a good job of visually depicting what goes on in the players'heads under pressure. Despite the formulaic nature, this is a nice and easy film to root for that deserves to find an audience. Once the action moves to the U. S. Open things pick up very well. Golf, a painfully boring sport, is brought vividly alive here. Credit should also be given the set designers and costume department for creating an engaging period - piece atmosphere of London and Boston at the beginning of the twentieth century.",1
"There's one little Disney moment at pool table ; otherwise, the viewer does not really think Disney. < br / > < br / > Finally, the golf scenes are well photographed.",1
"I saw this film in a sneak preview, and it is delightful. < br / > < br / > This is one I'd recommend to anyone. He does a marvelous, self - contained, job as the lead. If this movie does not do well, it won't be because it doesn't deserve to. Before this film, I didn't realize how charming Shia Lebouf could be. Sports movies are a dim a dozen, but this one stands out.",1
< br / > < br / > The acting is exemplary throughout.,1
Heartland gave that award to this film. < br / > < br / > And the story is inspirational.,1
"< br / > < br / > It's fabulous that he's off of drugs now, but he's no hero. He lies on the grass coming down from ( during? ) and that would make it a little biased. Huh? I think the best view would have been told from Hongsheng's family and friends'perspectives.",1
I found the Jia Hongsheng story interesting.,1
"However, this movie is not for everyone.",1
"He says "" I had to get high to do what director wanted. "" The perfect recipe for his enablers. So, his shallow identity as an actor becomes, via drugs, an escape from identity. He was hot in the early nineties. "" He's a talented actor, impressionable, vain, idealistic, and perhaps emotionally starved. Soon he's "" cool "" actor, idolized by youth. """,1
I loved this movie from beginning to end. < br / > < br / > This Movie Blew ME AWAY! I Give It Threehumbs Way Up! lol. I just saw it on the Ifc channel. It changed my life.,1
I was fortunate to attend the London premier of this film. I was in tears by the end of the film. Every scene was mesmerizing.,1
But it really was a worth while watch. This movie did all those things to me and more. There are NO loopholes ( in my opinion ). I first saw this movie on IFC. < br / > < br / > The atmosphere of the film is also great.,1
"Since family is the # 1 priority in the Asian culture, it takes guts for the circle to gather together and show one person how much the family loves him / her. It shows the genuineness of the movie.",1
As I watched it I found myself feeling sorry for him and others like him. < br / > < br / > A must see for someone in mental health profession!,1
"So does the bitter humor in a lot of events throughout the film. The music is beautiful and stayed with me for a while after. < br / > < br / > Jia Hongsheng is the actor of some Chinese action films late eighties start nineties. I saw this film at the Rotterdam International Film Festival 2002. We really feel pain and struggle Jia is in. Later you can see him in great films such as Frozen and Suzhou River. < br / > < br / > The film has a heavy feel, but scenes of Jia cycling through Bejing and partying with his friends lighten the tone.",1
"7 out of 10 and that's being kind. On a highway outside of town, she meets a young man, who stops and picks her up. "" Give it a look only if you are a fan of Jean Rollin'works. "" Night of the Hunted "" stars French porn star Brigitte Lahaie.",1
"For once, there's not a single diaphanously gowned vampire girl in sight! True to tradition, the budget proved way too tight to realize the director's vision entirely. < br / > < br / > When Robert leaves for work, he's inevitably erased from Elisabeth's feeble mind.",1
"There are also some spectacularly eroticised female dead, bit more dodgey, perhaps, but most effective. I was surprised how much I enjoyed this.",1
"I was really impressed. Groovy soundtrack and lots of nudity. Very metropolitan. < br / > < br / > 8 out of 10, kids.",1
"The revelation as to what's going on comes in the last few moments of the movie, which has a rather strange yet touching end to it. I like this one a lot, check it out. Except it's in French with subtitles of course. Still though, that doesn't prevent the man from having sex with her once they return to Paris & his apartment. 8 out of 10.",1
"In the end, though, through luck, Felix is discovered and offered a movie contract. < br / > < br / > Felix meets a guy whose shoe business is folding because he can't sell any shoes. Hurray! That's because despite its age, the cartoon is very creative and funny. In gratitude, the guy gives Felix $ 500! < br / > < br / > Once there, Felix barges into a studio and makes a bit of a nuisance of himself.",1
"The four leading actors set their characters realistic and with a good sense and balance between the tragic and the down - to - earth. The independent women, the soldier and the charismatic poet are constantly swept in both feelings of love and anger.",1
"Most highly recommended. Given that Felix started out in newspapers as a comic strip, this device is a natural.",1
"He's in tears. My kingdom for a ham sandwich!!! "" Felix thinks, "" How does he expect me to get the money? "" Crazy stuff.",1
"It'overall pretty good, if not a little over - the - top.",1
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.",1
"This is one of Errol Flynn's signature roles and one of Raoul Walsh's greatest epics. They appeared as a couple in seven previous films. Naturally, the volatile Custer attacks Sharp in a public brawl. Indeed, Sheridan was a lieutenant at this point.",1
"So I guess there's an unresolved quandary with the picture, no matter how you look at it. Custer's arrival at West Point is probably the first head scratcher, riding up as he does in full military regalia. So much so that in one scene it looked like it might have been Moreland hamming it up in a dress. If you keep rigid historical perspective out of it, this film is actually quite entertaining.",1
This reunion is a happy thing for cinematography.,1
"This is what I considered something of interest and where all of this became terribly interesting and very enjoyable. Custer ranked 34 in a graduating class of... 34. the cast was good to excellent and the lead man was truly heroic. I first viewed "" They Died With There Boots On "", about 1970 and though it has been many years since, this film and its impression remain.",1
I was fortunate to attend the London premier of this film. I was in tears by the end of the film. Every scene was mesmerizing.,1
"Ford taught us in "" Liberty Valance "" to believe the legend before the truth. Here I think we're closer to the legend of the legend but hey, it's only a movie and a rollicking, wonderfully enjoyable classic Hollywood movie at that!",1
"< br / > < br / > ALTHOUGH both pictures were starring vehicles for Errol Flynn, there was a change in the casting the part of General Custer. ( or Jeb ) Stuart ; Errol took on the Custer part for THEY DIED WITH THEIR BOOTS ON.",1
"He literally oozes charm and sex appeal from every pore that easily melts heart of his loyal heroine. < br / > < br / > Flynn, who cleverly plays Custer as though he is one part Arnold Schwartzenegger to two parts Albert Schweitzer, has never been more ignoble. Warner's DVD is pretty nice looking.",1
The film version was filmed in a desert with no river in sight. Arthur Kennedy never more villainous. It had much humor and pathos and held your interest throughout.,1
"Custer intends to court her, but the outbreak of the Civil War calls him away.",1
One of the best movies I have ever seen! Loosen up!,1
"Their chemistry on screen made you believe in their romance. The script, at times, was corny, although the movie was still enjoyable to watch. The beautiful costumes set the tone of the era. Her character will definitely make you laugh. This movie is good for entertainment purposes, but it is not historically reliable. Some will watch this movie and see Custer as a hero. Others will watch this movie and learn hate him.",1
