text,label
Bromwell High is a cartoon comedy. What a pity that it isn't!,1
Bolt isn't.,1
His character is more malevolent than usual. The take on lawyers is also superb. Brilliant over - acting by Lesley Ann Warren. Three funny words.,1
"Sure, its flawed.",1
"< br / > < br / > It rates a 7. But this isn't a thriller, per se.",1
"The direction is good. However, the core plot is very engaging.",1
"She is that good. It's overkill. Ms. Oh is correct saying Collette might be, "" you know, like that guy from'Psycho '. "" The film would benefit from a re - editing - how about a "" director's cut ""?",1
< br / > < br / > What is it about celebrities and fans? ( Dir : Patrick Stettner ) < br / > < br / > Hitchcockian suspenser gives Williams a stand - out low - key performance.,1
"< br / > < br / > This is a good, dark film that I highly recommend. It's incredible that there is at least one woman in this world who is like this, and it's scary too. Her role was a far cry from those she had in movies like "" Little Miss Sunshine "".",1
< br / > < br / > S ~ PLEASE GIVE THIS MOVIE A CHANCE! Robin Williams touches darkness we all must find and go through in ourselves to be better people. He has the 1940's leading man looks and screen presence.,1
I liked the film.,1
"It is here, a mysterious voice in the night asks him for help. * * * Perhaps its because his show is losing it's authentic veneer which causes Noon to admit he is no longer himself. Instead, this may prove to be one of William's more serious performances.",1
"It is not a Hitchcockian thriller. Everyone is very believable. In fact, the entire cast was very good.",1
Neither is it a predictable movie. This is no americanized movie. I can guarantee you that you have never seen this kind of movie before.,1
"This movie needs to have a Director's cut that tries to fix these problems. Not cheap, just hokey. Also, it needed a little more suspense.",1
Sandra Oh also starred as Williams'friend. 8 / 10 Recommended. Toni Collette also stars.,1
"It's bad in that it leaves various holes in the plot and doesn't sew - up any of plot openings or back - story. That's good in that it keeps the action and storyline lean and clear. < br / > < br / > He also acquaints himself with Pete's guardian, a woman named Donna ( Toni Collette, brilliant! )",1
The book is probably better. The production felt rushed and holes are apparent.,1
I absolutely LOVED this film!,1
"So there are no flashy endings or earth - shattering revelations, no "" showdown "" scenes. This Night Listener is better than people are generally saying. Thank Heaven.",1
"This is a thriller, not a horror, and it should be approached as such. Excellent direction? Great plot? Oh Yes.",1
"What the two films have in common is the action sequences, which are flat - out excellent.",1
This is the token moody period Gothic horror entry from the bunch. A real campy hoot.,1
"Boris Karloff plays a demented inventor of life - size dolls that terrorize the guests. He dies early in the film ( or does he? ) I won't go into too much detail here, but it is definitely a must - see for fans old dark house mysteries.",1
Aro Tolbukhin burnt alive seven people in a Mission in Guatemala in the 70's.,1
"That is why, though having good critics, his movies never caught the broad audience attention. < br / > < br / > Recommended.",1
An act for which he got caught and death penalty sentenced. The one we are witness of - the movie. There's so many things to fall for in Aro Tolbukhin.,1
The acting was wonderful. I give THE FALLEN ONES 9 OUT OF 10.,1
Without Kirsten Miller this project needn't have been completed.,1
"Kate Winslet's performance on the other hand was wonderful. Out of a possible 100 % I give this film a mere 71 %. But enough about, in my eyes, the worst character of the film.",1
You won't regret it. < br / > < br / > The acting is superb.,1
There is nothing wrong with this movie. Apart from that it is truly the best movie of all time. Titanic is the greatest movie of the 21st Century.,1
< br / > < br / > Having picked the DVD up for a mere $ 3. SEVEN years apart? $ 10. More a case of intrigue! Hardly evidence of the film's relentless pulling - power!,1
"Is a single one of them bad? I usually enjoy movies that stimulate mind, or give me a visual thrill. This movie isn't exactly dumb, but it's not cerebral at all. Not that Titanic has none of that. It's a damn good movie. The melodrama was quite heavy - handed at times. What's inexplicable? But that might be it, the appeal of it.",1
"0. They absolutely hate the man, and they will have no part in giving him any credit in "" Titanic "". 2 % 10 ratings and 9. Big Top Pee - wee "" ( 1988 ) got 4. com users. 0 rating by imdb. Everyone has, and is entitled to, his / her own taste. While 29.",1
It was so touching and beautiful.,1
"Could it get better? A landmark. Guaranteed! The acting was the real effect. Why so criticised? It will be almost impossible. Could they ever replace such an epic masterpiece. The movie Titanic makes it much more then just a "" night to remember. """,1
"Bethany Cox. 5 / 10. David Warner, a great actor, steals every scene he's in. Overall, I give Titanic 8.",1
We get a love story on a sinking boat. Everything about the story works and there are very few flaws. The story is simple and it works. com / ojhoyn ). Oh yes! She calls and tells her tale on the RMS Titanic.,1
The two leads in the film are great in their roles including Leonardo DiCaprio and Kate Winslet. They make for a good on - screen couple.,1
