text,label
I was wrong. The sign of a good movie is that it can toy with our emotions.,1
"Credit should also be given the set designers and costume department for creating an engaging period - piece atmosphere of London and Boston at the beginning of the twentieth century. Once the action moves to the U. S. Open things pick up very well. He also does a good job of visually depicting what goes on in the players'heads under pressure. Golf, a painfully boring sport, is brought vividly alive here. Despite the formulaic nature, this is a nice and easy film to root for that deserves to find an audience.",1
"< br / > < br / > Finally, the golf scenes are well photographed.",1
"< br / > < br / > This is one I'd recommend to anyone. I saw this film in a sneak preview, and it is delightful. He does a marvelous, self - contained, job as the lead. Sports movies are a dim a dozen, but this one stands out.",1
Heartland gave that award to this film.,1
He lies on the grass coming down from ( during? ) and that would make it a little biased. Huh?,1
"Soon he's "" cool "" actor, idolized by youth. "" He says "" I had to get high to do what director wanted. "" The perfect recipe for his enablers. So, his shallow identity as an actor becomes, via drugs, an escape from identity. He was hot in the early nineties. """,1
It changed my life. lol. I Give It Threehumbs Way Up! I just saw it on the Ifc channel. I loved this movie from beginning to end.,1
I was in tears by the end of the film. Every scene was mesmerizing.,1
But it really was a worth while watch. I first saw this movie on IFC. This movie did all those things to me and more. There are NO loopholes ( in my opinion ).,1
It shows the genuineness of the movie.,1
< br / > < br / > A must see for someone in mental health profession!,1
The music is beautiful and stayed with me for a while after. < br / > < br / > Jia Hongsheng is the actor of some Chinese action films late eighties start nineties. Later you can see him in great films such as Frozen and Suzhou River. We really feel pain and struggle Jia is in. I saw this film at the Rotterdam International Film Festival 2002. So does the bitter humor in a lot of events throughout the film.,1
"7 out of 10 and that's being kind. Night of the Hunted "" stars French porn star Brigitte Lahaie. Give it a look only if you are a fan of Jean Rollin'works. """,1
"For once, there's not a single diaphanously gowned vampire girl in sight!",1
I was surprised how much I enjoyed this.,1
Very metropolitan. I was really impressed.,1
"I like this one a lot, check it out. 8 out of 10. Except it's in French with subtitles of course.",1
"< br / > < br / > Once there, Felix barges into a studio and makes a bit of a nuisance of himself. That's because despite its age, the cartoon is very creative and funny. In gratitude, the guy gives Felix $ 500! Hurray!",1
"The independent women, the soldier and the charismatic poet are constantly swept in both feelings of love and anger.",1
Most highly recommended.,1
"My kingdom for a ham sandwich!!! "" He's in tears. Crazy stuff.",1
"They appeared as a couple in seven previous films. Indeed, Sheridan was a lieutenant at this point.",1
"If you keep rigid historical perspective out of it, this film is actually quite entertaining. So much so that in one scene it looked like it might have been Moreland hamming it up in a dress. So I guess there's an unresolved quandary with the picture, no matter how you look at it.",1
This is what I considered something of interest and where all of this became terribly interesting and very enjoyable. Custer ranked 34 in a graduating class of... 34. the cast was good to excellent and the lead man was truly heroic.,1
I was in tears by the end of the film. Every scene was mesmerizing.,1
"Ford taught us in "" Liberty Valance "" to believe the legend before the truth.",1
( or Jeb ) Stuart ; Errol took on the Custer part for THEY DIED WITH THEIR BOOTS ON.,1
Warner's DVD is pretty nice looking. He literally oozes charm and sex appeal from every pore that easily melts heart of his loyal heroine.,1
Arthur Kennedy never more villainous. It had much humor and pathos and held your interest throughout.,1
Loosen up!,1
"The script, at times, was corny, although the movie was still enjoyable to watch. Her character will definitely make you laugh. Their chemistry on screen made you believe in their romance. Others will watch this movie and learn hate him. The beautiful costumes set the tone of the era.",1
"< br / > < br / > 3 ) Custer's promotion to General is not only presented as a ridiculous mistake, but it plays out as slapstick comedy. I half - expected to see the Marx Brothers or Abbott and Costello wander into the scene. Just having someone like Errol Flynn play Custer is enough of a clue that the legend has precedence over the truth in this production. < br / > < br / > 5 ) Custer's drinking problem is certainly not ignored. And for the most part my expectations were fulfilled ( in an admittedly rousing and entertaining way ).",1
So keira knightly is in it... < br / > < br / > GO ON!! give it a go! So automatically we compare this film to attonement.,1
"this is awesome!!! there is no partnership quite like Errol, and Olivia. patriotic, for all the right reasons.",1
"Through an error, Custer receives a promotion in rank. < br / > < br / > Errol Flynn dominates each scene in which he appears. His campaign is successful and Custer becomes an unlikely national hero.",1
During that time she was the custodian of the Custer legend. I'm not sure they ever met.,1
! < br / > < br / > I'll give this film 10 out of 10!,1
"This is a wonderful film as a film - it gets an 8 out of 10. John Ford would have fully understood this and approved it. ), and national hero.",1
When first you hear rain on a roof? Can you capture the moment? The lives of four friends. A simple biopic could have missed the point. The things that matter. Vera. The purity of their former passion.,1
"The movie really makes no claim to being historically accurate, and is certainly no more or less accurate or believable than say, JFK.",1
Is there a way out of the madness? You will both be cheerio pronto.,1
"if you like "" Who's That Girl? """,1
< br / > < br / > This film mistaken.,1
She'the girl for me.,1
"is not a deep film. Haviland Morris also stars. But Who's That Girl? Overall, a delight! I've watched it when I was younger.",1
! The soundtrack is excellent too.,1
In this TV special Jon is the one who needs a life.,1
Oh well.,1
"Madonna gets into action, again and she fails again! At the end, it's very funny to watch it.",1
"And Madonna can act. But it's their problem, not of the film.",1
"Clear. "" ), plays an attorney for his fiancée's father ( John McMartin ). "" When she gets out she decides to seek revenge. < br / > < br / > Griffin Dunne ( whatever happened to him?",1
Her acting is superb! ! I love this movie! * ALANiS Rocks *. It's classic.,1
[ CONTAINS SPOILERS!!! ] Literally. Jon and Garfield attend the class. No avail. Jon sat next to a pretty girl named Mona.,1
Hilarious! < br / > < br / > Madonna is the queen of deadpan acting.,1
!,1
Madonna - bashing is so 90's. ? Give her a break!,1
6 /.,1
He'very good in a small role as Bracco's pimp. The whole cast is wonderful.,1
I hope it lasts.,1
I would credit this to two very charismatic people. I know I did.,1
Technical details?,1
< br / > < br / > There were lots of BABES in and out of bikinis. It is pure 100 % adolescent fun. Is this a bad movie?,1
Watch it twice if you can.,1
"As time goes on at home, the evil Stepmother finds new ways to torment the girls. An easy 10 / 10. It has twist, turns, and definitely leaves you a lot to think about without not making sense. The soundtrack is faultless, the furnishings in the house, and the use of colour are fantastic. Or ANY sort of movie fan! Silence follows.",1
It's a hell of a puzzle.,1
Very creepy!,1
It is not a perfect film. Very little.,1
So I'll just leave it at that. With the characters nicely fleshed out. I was really surprised at the depth of this movie.,1
! Then they made a movie out of it.,1
the characters are extremely believable. i would definitely look out for this on DVD. i love horror movies that revolve around a house.,1
It's actually typical with Korean and Japanese movies. ). Don't miss!,1
"But you never can. To most of us, life is an unfolding process of love. Soo - mi says "" Do you know what's really scary?",1
"Three words : Piece of Art. Said, done. This film is just great. It was so sad.",1
"Some things will still be open to interpretation, and this is one of joys of watching a film such as this. This movie certainly deserves to be placed within the genre of horror, but not for obvious reasons. Indeed, it would be a mistake to align "" A Tale Of Two Sisters "" with films like "" Ringu "" and "" The Grudge "".",1
Every high praise word fell way short before the height of this movie. And don't forget to switch the light off.,1
!,1
A beautiful short film.,1
"The tension rises and there is the inevitable snap. Many horror fans complain that horror has scarcely progressed in the last twenty years. One to watch again and again, if only to work it all out.",1
My vote is eight.,1
"Eun - joo ( YEOM Jeong - ah ) welcomes them but Su - mi's manner is bitter to her. says he angrily, "" Su - mi, please. < br / > < br / > Listening to their talk, the brother's wife has a panic. Eun - joo pulls Su - yeon into a wardrobe and locks her in it. Give me a break. """,1
"< br / > < br / > Highly recommended viewing in my opinion, real joy and scare...",1
"I just saw "" A Tale of Two Sisters "" last night and really enjoyed it. The initial stepmother that we see is, in my opinion a delusion of Su - Mi. < br / > < br / > Here's my interpretation of the film.",1
"It'quite simply the highest, most superlative form of cinema imaginable. In reality, however, nothing could be further from the truth.",1
