text,label
What a pity that it isn't!,1
His character is more malevolent than usual. Three funny words. The take on lawyers is also superb.,1
< br / > < br / > It rates a 7.,1
The direction is good.,1
It's overkill. She is that good.,1
< br / > < br / > What is it about celebrities and fans?,1
"< br / > < br / > This is a good, dark film that I highly recommend. Her role was a far cry from those she had in movies like "" Little Miss Sunshine "".",1
< br / > < br / > S ~ PLEASE GIVE THIS MOVIE A CHANCE!,1
"It is here, a mysterious voice in the night asks him for help. Instead, this may prove to be one of William's more serious performances.",1
It is not a Hitchcockian thriller. Everyone is very believable.,1
This is no americanized movie. Neither is it a predictable movie.,1
"Also, it needed a little more suspense. Not cheap, just hokey.",1
8 / 10 Recommended. Toni Collette also stars.,1
That's good in that it keeps the action and storyline lean and clear. It's bad in that it leaves various holes in the plot and doesn't sew - up any of plot openings or back - story.,1
The book is probably better.,1
Thank Heaven. This Night Listener is better than people are generally saying.,1
Oh Yes. Great plot?,1
A real campy hoot.,1
He dies early in the film ( or does he? ),1
< br / > < br / > Recommended.,1
The one we are witness of - the movie.,1
The acting was wonderful.,1
Kate Winslet's performance on the other hand was wonderful. Out of a possible 100 % I give this film a mere 71 %.,1
You won't regret it.,1
Titanic is the greatest movie of the 21st Century. There is nothing wrong with this movie.,1
SEVEN years apart? More a case of intrigue! $ 10.,1
It's a damn good movie. What's inexplicable? Is a single one of them bad? Not that Titanic has none of that.,1
"Everyone has, and is entitled to, his / her own taste. 0 rating by imdb. 2 % 10 ratings and 9. 0.",1
Guaranteed! It will be almost impossible. Why so criticised? The acting was the real effect. Could it get better? A landmark.,1
"Overall, I give Titanic 8. 5 / 10. Bethany Cox.",1
We get a love story on a sinking boat. The story is simple and it works. com / ojhoyn ). Oh yes!,1
They make for a good on - screen couple.,1
"! It was a good risk. Good story, good flow, good actors!!",1
"The next complaint, DiCaprio and Winslet are terrible actors. It has its problems ( what movies don't ) but still, it's enjoyable. Titanic has to be one of my all - time favorite movies.",1
They trusted each other. Titanic is a great film down to it's very core. Titanic is a classic.,1
My heart won't go on from this one. He sees a story and adds a strange quality to the film. No exceptions. The music has become iconic and legendary.,1
"101 - year - old Rose Dawson Calvert learns of the drawing, and contacts Lovett to inform him she is the woman in the drawing. OK, I know that's silly to say, but I did re - watch the film. Was that Leonardo's real nose? Was it worth the hype?",1
She gets to telling her memory of the one and only voyage of the Titanic.,1
"PEOPLE make the film a huge success. ha! < br / > < br / > Personally, I LOVE this film. With Titanic, everyone was in awe.",1
"Nonsense, "" I thought. I loved it! Then - the details. First - the directing.",1
How lame is that? I will gladly side with the majority this time around. It is the most amazing love story ever attempted.,1
"I was utterly transfixed. How anyone can say effects were bad is beyond me. Kate Winslet was so strong in this film. Titanic leaving port in Southampton. Rose and Jack at the bow, "" flying "". "" Iceberg, right ahead! "" I cried again.... in all the same places. However, none of this is so distracting that it ruins the film. Leo is one of the fine actors of his generation.",1
"I am not a parent, neither am I a male. He should be offered more serious roles.",1
But Morphe It just may be haunted. The tracking and the cuts need to be slow.,1
"Warning, get the Kleenex ready. Movie's. Yes it touched my heart.",1
A must see for those who care about their families.,1
"Steamy ""? I was prepared for disappointment. < br / > < br / > Boy, was I wrong! It's 1968.",1
A romantic. Excellent!!! Fine acting and directing.,1
This is a movie I will show to my children.,1
She was such a great actor for being so little. lol.,1
"Even after he reluctantly takes her back, he's not too upset when she's kidnapped. < br / > < br / > The two lead performances are believable and beguiling in their societal context. What held my attention in The King of Masks was the grimness of the setting : small - town China in the 1930's.",1
The acting is inspired.,1
Very impressive. Actors are brilliant. The whole film is in loops. Watch it 9 / 10.,1
Casting is great.,1
The story is absorbing.,1
< br / > < br / > Maybe I'm reading too much into this film ; but I don't think so! < br / > < br / > But don't get me started on that...,1
King of Masks ( Bian Lian in China ) is a shockingly beautiful and profoundly touching film. Wang Bianlian's story goes on from there.,1
"If you can find this series, give it a look. Heinlein's political views are merely excised, as opposed to the film, where they are reversed. While events happen differently than in the book, the feel of the book's plot is present. ), but it's far superior to the film. But none of these, so to speak, has really captured the spirit of his novel. And I think they did pretty well with this.",1
Highly recommended : - ) 9 / 10 stars.,1
"Farewell, my Concubine, The Emperor and the Assassin and this movie are perfect examples. Fans of Farewell My Concubine should look carefully at Master Liang's portrayal of a male playing female role in Chinese Opera. Master Wang is sold a son by a slave trader. But the son eventually is found out to be a girl. All is well as he joyfully prepares to pass down his art.",1
"Kudos all around. """,1
"It was weak, cliche and about as subtle as aledgehammer. What a shame. Despite the times and the influences, the man is kind and good.",1
The story is simple.,1
"I find that great. OK, let's get this clear. A round device that creates a wormhole.",1
"There is also humour, sometimes quite subtle, at appropriate points. < br / > < br / > The story is fun, emotional, and complex.",1
"This deserves a lot better treatment. Until it comes out on widescreen, rent it.",1
It may just change you forever once you have seen it.,1
< br / > < br / > Cheers.,1
In color too!,1
10-Oct,1
"All the supporting players round it out, and I do wonder who trained all those elephants. Her shape and way she moves is distinct from Taylor's.",1
"The real star is the bungalow, one of most beautiful interior sets in movie history.",1
To miss this point is to essentially miss the point of the whole center of the film : the hubris of man.,1
I have never forgotten it.,1
"Most, if not all, of these cops are borderline (? ) Highly recommended.",1
Buaku rules. I do have some complaints though.,1
